rank,university,score,country,location,twitter_name,id,language,verified,description,n_posts,followers_count,friends_count
144,Kyushu University,75.745,Japan,"Nishi-ku, Fukuoka, Japan",KyushuUniv_EN,3215762043,en,FALSE,This is the Official account of Kyushu University.,228,490,1
145,Technical University of Berlin,75.483,Germany,Berlin,TUBerlin,63449466,en,TRUE,We've got the brains for the future. Research for the benefit of society. Official Twitter account of #TUBerlin. Site Notice: https://t.co/HBircOrdJN.,4992,13763,802
146,University of Cape Town,75.453,South Africa,"Cape Town, South Africa",UCT_news,562781948,en,TRUE,The official Twitter feed of the University of Cape Town. Connect with us on Facebook:  https://t.co/gsjihUjywb,16202,202854,1408
147,Hokkaido University,75.351,Japan,"Hokkaido, Japan",HokkaidoUni,481839331,en,FALSE,Welcome to Hokkaido University's official English Twitter account. See our social media guidelines on our website. #hokkaidouniversity,3374,6162,272
148,University of Glasgow,75.328,UK,Scotland,UofGlasgow,19760151,en,TRUE,Changing the world 🌍 since 1451. @UofGEvents for events and @UofGNews for media. #TeamUofG💘 #WorldChangingGlasgow,19806,98993,1845
149,Rockefeller University,75.246,USA,New York NY,RockefellerUniv,27024872,en,FALSE,"The Rockefeller University is a world-renowned center for research and graduate education in the biomedical sciences, chemistry, bioinformatics and physics.",6317,10877,1080
150,Lancaster University,75.159,UK,"Lancaster, England",LancasterUni,25521930,en,TRUE,Top 10 in the Guardian | Top 10 in the Times | Top 10 in the Complete University Guide. We're a collegiate university with a global reputation.,23652,59105,1151
151,Katholieke Universiteit Leuven (KU Leuven),75.153,Belgium,"Leuven, Belgium",LeuvenU,281043412,en,TRUE,"News from Europe's most innovative university, updated by the Newsroom | #kuleuven | Email your news tips: news@kuleuven.be | For Dutch: @KU_Leuven",2728,15422,2676
152,"State University of New York, Stony Brook",74.975,USA,"Stony Brook, NY",stonybrooku,50762782,en,FALSE,"In just six decades, Stony Brook University has established itself as one of America's most dynamic public universities.",34733,33442,2257
153,Humboldt University of Berlin,74.963,Germany,"Berlin, Germany",HumboldtUni,108566175,de,TRUE,Offizieller Twitter-Account der Humboldt-Universität zu Berlin. Tweets des Online-Teams der HU #humboldtuni Impressum: https://t.co/ZfduTNZZqf,3146,21888,216
154,University Paris Diderot - Paris 7,74.955,France,Paris,ParisDiderot,51400447,fr,TRUE,Compte officiel. Établissement pluridisciplinaire et membre fondateur d'Université de Paris. Suivez-vous sur @Univ_Paris,10510,18991,688
155,University of Cologne,74.928,Germany,Köln,UniCologne,21084942,de,FALSE,#UniKöln: Universität mit internationalem Flair // Cologne: University with International Appeal,4848,40104,1268
156,University of Malaya,74.869,Malaysia,Malaysia,unimalaya,821364216,en,FALSE,"See also: https://t.co/ftigzWqWtC
https://t.co/pVehGM6l3O",7998,16352,297
157,National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),74.845,Russia,"Mosca, Russia",UMephi,1046683139718991872,en,FALSE,Official account of the National Research Nuclear University MEPhI #MEPHI,362,132,115
158,Colorado School of Mines,74.788,USA,"Golden, CO",coschoolofmines,28147271,en,TRUE,"Official account of Colorado School of Mines, a public research university preparing students to solve energy & environmental challenges #helluvaengineer",13224,14316,1087
159,University of Colorado,74.772,USA,COLORADO,CUSystem,22158430,en,FALSE,"Colorado's premier university system. Four campuses -- Boulder, Colorado Springs, Denver and the CU Anschutz Medical Campus -- united in making a difference.",6846,12486,1293
160,University of Kansas,74.589,USA,Lawrence❤️Kansas,UnivOfKansas,31947242,en,TRUE,13 schools. Five campuses. One chant. #RockChalk,31698,81503,471
161,University of Munster,74.588,Germany,Münster,WWU_Muenster,24677217,de,FALSE,"Online-Redaktion der Uni Münster bei Twitter: Johannes Sträßer, Peter Wichmann; Impressum: https://t.co/WDWjfiwrPf
Datenschutzhinweis: https://t.co/EYQHt2X81l",9264,14913,1694
162,University of Sheffield,74.492,UK,"Sheffield, UK",sheffielduni,19341622,en,TRUE,Top 5 UK university for best student experience and top UK students' union for 10 consecutive years - THE Student Experience Survey,21227,120351,4831
163,University of Barcelona,74.483,Spain,Barcelona,UniBarcelona,188725330,ca,TRUE,La #UniBarcelona és la universitat pública principal i amb més estudiants de Catalunya. #SocUB,23627,55468,1309
164,Sungkyunkwan University,74.43,Republic of Korea,"seoul, korea",SKKU_1398,130433022,ko,FALSE,안녕하세요 성균관대학교 대표 트위터입니다.,240,918,510
165,University of Arizona,74.35,USA,"Tucson, Arizona",uarizona,14862639,en,TRUE,"Whether we are touching an asteroid or determining how we feed 9 billion people, Arizona Wildcats ask bigger questions to get better answers. #BearDown",28817,162891,752
166,Cardiff University,74.158,UK,"Cardiff, UK",cardiffuni,12134862,en,TRUE,Top 5 research quality • Russell Group • #WeAreInternational • Set in a thriving capital • Cymraeg: @prifysgolCdydd,17981,78302,738
167,University of Leicester,74.092,UK,University of Leicester,uniofleicester,81089247,en,TRUE,The official account for the University of Leicester. #LaunchYourself,16275,53060,3624
168,Technion Israel Institute of Technology,73.921,Israel,"Haifa, Israel",TechnionLive,224964544,iw,FALSE,"Technion~ Israel Institute of Technology. Over 100 years of commitment to science, technology, innovation & education.",13300,48338,37951
169,University of Illinois at Urbana - Champaign,73.901,USA,"Urbana, IL",Illinois_Alma,18165866,en,TRUE,All the latest from the University of Illinois at Urbana-Champaign.,39469,80211,8114
170,"University of California, Irvine",73.804,USA,"Irvine, Calif.",UCIrvine,19669207,en,TRUE,"The official Twitter account for the University of California, Irvine. 🐜🍴💙💛 #UCIPride",11120,64529,526
171,Korea University,73.527,Republic of Korea,Seoul,UniversityKorea,1186487858,en,FALSE,"This is not official account of KU.
I'm a graduate of KoreaUniversity. 
I'll follow all alumni and professors of KU.
so you can use it to find your alumni",54,868,417
172,"University of California, Santa Barbara",73.499,USA,"Santa Barbara, CA",ucsantabarbara,18105473,en,TRUE,"News, achievements, and discoveries from UC Santa Barbara, a dynamic environment where beauty meets brilliance. #UCSB",7005,43620,7058
173,Northeastern University,73.344,USA,"Boston, MA",Northeastern,46477409,en,TRUE,"Northeastern is a global, experiential, research university built on a tradition of engagement with the world. #NUexperience",25059,42348,883
174,Indiana University,73.32,USA,Indiana,IndianaUniv,100367386,en,TRUE,"Established in 1820, Indiana University has 7 campuses: @IUBloomington, @IUEast, @IUKokomo, @IUNorthwest, @IUPUI, @IUSouthBend, and @IUSoutheast.",18826,76202,458
175,Hanyang University,73.241,Republic of Korea,서울/안산,i_hanyang,51478517,ko,FALSE,한양대 인터넷한양 뉴스팀,16525,3676,2860
176,Pennsylvania State University,73.195,USA,"University Park, PA",penn_state,119376050,en,TRUE,"We are one community, impacting many. We Are Penn State. Welcome to #PennState's official Twitter account. Share your photos with us using #MyPennState.",34146,210181,1024
177,Tokyo Medical and Dental University,73.182,Japan,Japan,TMDUniversity,1152088361969963009,en,FALSE,"Cultivating Professionals withKnowledge and Humanity, thereby Contributing to People’s Well-being",30,53,38
178,Tomsk State University,73.129,Russia,"36 Lenin Ave.,Tomsk, Russia",TomskUni,2408564130,en,FALSE,The official page of Tomsk State University,1076,583,55
179,Yonsei University,73.067,Republic of Korea,"Seoul, Republic of Korea",yonsei_u,173679304,en,FALSE,"Being the oldest private university in Korea, Yonsei University was first established in 1885 by Christian missionaries in the spirit of “truth and freedom.”",3,1506,13
180,Texas A&M University,72.951,USA,"College Station, TX",TAMU,17237540,en,TRUE,The official Twitter account for Texas A&M University! #tamu #12thMan #BeFearless,24638,275574,1952
181,Weizmann Institute of Science,72.817,Israel,Israel,WeizmannScience,39958512,en,FALSE,One of the world's top-ranking multidisciplinary research institutions. Noted for its wide-ranging exploration of the natural and exact sciences,899,8562,210
182,University of Wurzburg,72.814,Germany,Würzburg,Uni_WUE,593618061,de,FALSE,1402 erstmals gegründet. 1582 erneut. Seitdem dauerhaft am Leben! Impressum: https://t.co/PDFwpZsQVL,7129,4608,566
183,State University of Campinas (Unicamp),72.702,Brazil,"Campinas, Brasil",unicampoficial,788430113859854336,pt,FALSE,Perfil oficial da Universidade Estadual de Campinas.,2397,6651,15
184,University of Erlangen Nuremberg,72.608,Germany,Nuremberg Metropolitan Region,FAU_Germany,2993995444,en,FALSE,"The official English language account of Friedrich-Alexander University Erlangen-Nürnberg (FAU) @UniFAU in Bavaria, Germany https://t.co/ktJyeJD6DY",3279,2306,921
185,University of York,72.505,UK,"York, UK",UniOfYork,27035508,en,TRUE,We're a leading UK university and part of the @russellgroup. Follow us for our latest news and views. We're available Mon-Fri 9am-5pm to answer your qus!,18498,70682,626
186,University of Ottawa,72.435,Canada,"Ottawa, Ontario, Canada",uOttawa,352311644,fr,TRUE,L’Université d'Ottawa | University of Ottawa | 💭 @uottawafuture  | 🎒 @uocampus  | 🎓 @uottawaalumni |  🐴 @uottawageegees | 📸 #uOttawa,18742,29059,354
187,Tel Aviv University,72.407,Israel,"Tel Aviv, Israel",TelAvivUni,790846916192002048,en,TRUE,"Be Part of the Next Big Idea. World's 8ᵗʰ in graduate billion $ #Startups, 48ᵗʰ in patents granted, top 100 in #Innovation, Pursuing the Unknown  📚 🔬  ⚕ 🔭 🎼  💻",1874,4593,1695
188,University of Tsukuba,72.365,Japan,"Tsukuba, Japan",UofTsukuba,2777744022,en,FALSE,"With over 130 years of history, the University of Tsukuba has a long and proud history as one of Japan's premier educational institutions.",36,391,0
189,University of Gothenburg,72.28,Sweden,"Gothenburg, Sweden",uniofgothenburg,35720969,en,FALSE,"We are merging our two twitter accounts. Please unfollow 
@uniofgothenburg and follow @goteborgsuni where we from now on will tweet in both English and Swedish.",1760,7491,1
190,Aalto University,72.261,Finland,Finland,AaltoUniversity,90345811,en,FALSE,"Aalto University (Aalto-yliopisto) is a multidisciplinary university, where science and art meet technology and business.#aalto #aaltoyliopisto #aaltouniversity",7877,38074,1102
191,University of Reading,72.079,UK,"Reading, England",UniofReading,59142515,en,TRUE,"Campus life, study, and futuristic ducks from the year 2020 at the University of Reading. For research news and comment follow @UniRdg_News",16191,52419,852
192,University of Exeter,71.939,UK,"Exeter, Devon, UK",UniofExeter,60642183,en,TRUE,"Exeter is a leading UK university and member of the Russell Group, which combines world leading research with high levels of student satisfaction.",21686,66845,896
193,University of East Anglia,71.866,UK,"Norwich, Norfolk, UK",uniofeastanglia,26758197,en,TRUE,Official feed for the University of East Anglia. The University is closed from 24 Dec to 1 Jan 2020. Experience UEA at our mini #UEAOpenDay on Mon 6 Jan ✨,29529,59577,2198
194,"State University of New York, Buffalo",71.864,USA,"Buffalo, NY",UBuffalo,2326061460,en,TRUE,University at Buffalo | At #UBuffalo we lead the charge! Here is how our extraordinary people and research change the world. Put your #UBhornsUP!,12213,12103,216
195,University of Ulm,71.841,Germany,"Ulm, Germany",uni_ulm,48372117,de,FALSE,Die Uni Ulm ist medizinisch-naturwissenschaftlich ausgerichtet und das ❤️ der Wissenschaftsstadt. #uulm https://t.co/H7a1csKLu6 Datenschutz: https://t.co/vW0oNrTMqU,706,1677,382
196,Gwangju Institute of Science and Technology,71.786,Republic of Korea,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,Western University,71.739,Canada,"London, Ontario, Canada",WesternU,20601500,en,TRUE,"Since 1878, Western has delivered an academic experience second to none. Western challenges the best and brightest to commit to the highest global standards.",46401,77672,12232
198,University of Freiburg,71.275,Germany,Freiburg,UniFreiburg,148286775,de,FALSE,"Hier twittert die Albert-Ludwigs-Universität Freiburg. 
Impressum: https://t.co/EiWp5ZiNif
Datenschutz: https://t.co/0MOOEjaN9K",2000,3339,0
199,Universite Libre de Bruxelles,71.252,Belgium,Bruxelles,ULBruxelles,179941278,fr,TRUE,Université libre de Bruxelles (ULB) - Suivez-nous et restez informés de toutes nos activités et événements ! #ULB,6757,16099,1503
200,Wake Forest University,71.15,USA,"Winston-Salem, NC",WakeForest,34685994,en,TRUE,Campus life and news from the official Twitter account of Wake Forest University. #WFU #WakeWill 🎩 https://t.co/YXFRATYq6P,36355,31485,4943
201,University of Connecticut,71.142,USA,"Storrs, CT",UConn,84327770,und,TRUE,"The University of Connecticut is home to more than 32,000 students, 1,500 faculty, 255,000 proud alumni, and a handsome husky named Jonathan. #UConnNation",12679,102680,804
202,"Royal Holloway, University of London",71.094,UK,"Egham, Surrey",RoyalHolloway,22626892,en,TRUE,"Royal Holloway is one of the UK’s leading research-intensive universities. Based in Surrey, our campus is among the most beautiful in the world.",10280,25440,849
203,Temple University,70.933,USA,"Philadelphia, PA, USA",TempleUniv,36445142,en,TRUE,The official Twitter feed of Temple University. Your source for info and community from one of the nation's great urban universities. #TempleMade,33903,157935,1716
204,North Carolina State University,70.768,USA,"Raleigh, NC 27695",NCState,487624974,en,TRUE,"NC State creates societal, economic and intellectual prosperity. Follow us to see how we #ThinkAndDo.",21914,121720,416
205,Aix Marseille University,70.732,France,"Marseille, Aix-en-Provence",univamu,593552841,fr,TRUE,Compte officiel 🎓• 78 000 étudiants • 120 structures de #recherche • 12 écoles doctorales • 5 campus • 8000 personnels #Idex #interdisciplinarité #CIVIS,3230,8675,587
206,University of Aberdeen,70.625,UK,"Aberdeen, Scotland",aberdeenuni,20427406,en,TRUE,"Scottish University of the Year 2019. Est. 1495. News, events, research and study opportunities from the University of Aberdeen. We RT to share, not to endorse.",10664,62984,3683
207,Newcastle University,70.561,UK,"Newcastle, Tyne and Wear, UK",UniofNewcastle,96741105,en,TRUE,Official page for latest news from Newcastle University - a top 150 QS World University. Monitored Mon-Fri 9-5. Students follow @studentsncl +44 (0)191 208 7850,10478,37422,1438
208,Pompeu Fabra University,70.308,Spain,Barcelona,UPFBarcelona,241191056,und,TRUE,"Twitter oficial de la Universitat Pompeu Fabra (UPF), una universitat pública, internacional i intensiva en recerca.",21306,34911,1084
209,University of Pisa,70.263,Italy,Pisa,Unipisa,419650046,it,FALSE,"The University of Pisa, founded in 1343, is one of the most ancient and prestigious universities in Europe",4139,15289,609
210,Laval University,70.225,Canada,Quebec City,universitelaval,60184668,fr,TRUE,"Première université francophone d'Amérique, l'Université Laval tire sa force de son expérience et du dynamisme qui la caractérisent.",7801,30356,2384
211,University of Montpellier,70.066,France,Montpellier,umontpellier,2294544162,ro,FALSE,Université de #Montpellier : 48000 étudiants - 76 laboratoires de recherche – pilote de l’@IsiteMUSE (19 établissements partenaires),3184,9699,1153
212,University of Padua,69.935,Italy,Padova,UniPadova,180753423,it,TRUE,Il canale ufficiale dell'Università di Padova. Consulta la policy sui social di Ateneo https://t.co/bqH9le2XZM,11974,10152,623
213,Tehran University of Medical Sciences,69.894,Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,University of Hawaii,69.823,USA,Hawaiian Islands,UHawaiiNews,17851248,en,FALSE,"10 campuses, 6 islands, 1 UH System #Hawaii #highered #UHohana",15724,30229,2233
215,University College Dublin,69.687,Ireland,University College Dublin,ucddublin,22132266,en,TRUE,"Official source of news from University College Dublin (UCD) - Ireland's Global University. Est. 1854.

One of Europe's leading research-intensive universities",14945,47609,1910
216,Moscow Institute of Physics and Technology,69.657,Russia,"Dolgoprudny, Russia",phystech_en,2420128578,en,FALSE,The Moscow Institute of Physics and Technology is a Russian leading university in STEM education and research.,1092,1620,559
217,Drexel University,69.495,USA,"Philadelphia, PA",DrexelUniv,17809006,en,TRUE,"Drexel is an academically comprehensive and globally engaged urban research university, known for the nation's premier co-op program. #ambitioncantwait 🐉",2837,25848,329
218,Harbin Institute of Technology,69.494,China,"Harbin, Heilongjiang, China",HIT_China,812641495,en,FALSE,Welcome to Harbin Institute of Technology,17,26,1
219,University of Surrey,69.483,UK,"South East, England",UniOfSurrey,19446296,en,TRUE,"The official Twitter account for the University of Surrey — our social media team is here for you weekdays, 9am-5pm.",18599,57946,1578
220,James Cook University,69.4,Australia,Tropical North Queensland,jcu,16661704,en,TRUE,"James Cook University is Australia's leading tropical research university, with campuses in Townsville, Cairns and Singapore.",17228,16303,1029
221,"Indian Institute of Technology, Kharagpur",69.208,India,"Kharagpur, West Bengal, India",IITKgp,735527910,en,TRUE,This is the official account of IIT Kharagpur. http://t.co/1Yo2qaNd8I,1623,37885,196
222,Dalhousie University,68.82,Canada,"Nuova Scozia, Canadà",DalhousieU,42391676,en,TRUE,"This is #DalhousieU – Atlantic Canada’s leading research-intensive university, just steps from the ocean. 🌊",20324,22318,623
223,University of Nebraska,68.757,USA,Nebraska,u_nebraska,243366276,en,FALSE,"The 4 campuses of the University of Nebraska are home to more than 51,000 students & 16,000 employees who serve the state through teaching, research & outreach.",10773,11527,382
224,Universiti Teknologi Malaysia,68.739,Malaysia,Malaysia,utm_my,45527356,in,FALSE,innovative .  entrepreneurial .  global,11647,102934,64
225,St George`s University of London,68.676,UK,London,StGeorgesUni,160583127,en,TRUE,"News and updates from St George's, University of London - a specialist medical and health sciences college which is part of the University of London. 
@UoLondon",14222,10330,1958
